Deliverable,Specifications,Placement,Notes,"This doc homogenizes all assets we create, so campaign implementation is more formulaic and scalable."
Brief,See SOP,,,
Budget,,,,
Timeline,,,,
Brand Kit,,,,
Campaign Spreadsheet,,,,
Primary Graphic,"Square
Export both:
1000 x 1000 150-300kb JPG ""web"" in name
2000 x 2000 medium size PNG ""full-res"" in name","Anywhere
Carousel with inspo photos
Social feed post
Email blast",Title & main campaign branding,
Header Image,"1500 x 700 if title only
Can go up to 1500 x 1000 if details included
JPEG, 150-300KB","Website Header, online & social calendar headers",Use large margins - will be used for online event listings with multiple formatting requirements,
Featured Image,"800x700 px
Similar to header image
JPEG, 100-200kb","Thumbnail for website & online & social calendar listings
Ticket ""product"" image for ecomm","No details, scalable",
Email Banner Ad,"600 px width x190 px height
PNG
72 dpi
The max file size is 1 MB",,Include a CTA - something that looks like a button is fine. Examples here,
Title,,,,
Very Short Description,70-150 characters,,,
Short Description,120-158 characters,,,
Long Description,Longer than 200 characters,"Website, ","Use at least two subtitles, at least two sections, preferrably 3-5",
Social post text,Various options,Social,Include hashtags,
Primary Branding Social Post,"Same content, multiple formats
Photo / graphic / carousel
Video / animated 
.PNG , roughly 2000px, roughly 1-2mb files 
Export same content in ratios:
Square, 4:5, 9x16","Paid Social
Organic Social feeds
Organic Social Stories","If using a large budget for paid social, use multiple versions, post in one ad, turn on AI placements. Meta will choose format intuitively. Doesn't work with carousels - turn carousels into video
9x16 version to keep important details in middle square to avoid title overlap",
Organic Social Content,Whatever works. Always export 9x16 versions for stories,,,
Street Team Posters,"11x17
8.5x11
4x9",,"If street teaming, make all options. It's worth it.",
Postcard Mailer,8.5 x 5.5,,,