,January,February,March,April,May,June,July,August,September,October,November,December,Total
2021 Revenue ,"$90,000.00","$90,000.00","$90,000.00","$90,000.00","$90,000.00","$90,000.00","$90,000.00","$90,000.00","$90,000.00","$90,000.00","$90,000.00","$90,000.00","$1,080,000.00"
2022 Target Revenue,"$120,000.00","$120,000.00","$120,000.00","$120,000.00","$120,000.00","$120,000.00","$120,000.00","$120,000.00","$120,000.00","$120,000.00","$120,000.00","$120,000.00","$1,440,000.00"
2022 Actual Revenue,"$100,000.00","$100,000.00","$100,000.00","$100,000.00","$100,000.00","$100,000.00","$100,000.00","$100,000.00","$100,000.00","$100,000.00","$100,000.00","$100,000.00","$1,200,000.00"
,,,,,,,,,,,,,
Light blue boxes = formulas,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
PROMOTIONS,i.e. 50% off new memberships,,,,,two for one,,,,Work for free for a day,,,
,,,,,,,,,,,,,
LEADS,,,,,,,,,,,,,
New Leads,20,20,20,40,40,40,20,20,20,20,20,20,$300.00
New Trials,10,10,10,10,10,10,10,10,10,10,10,10,$120.00
Won Deals,5,5,5,5,5,5,5,5,5,5,5,5,$60.00
Total Leads in Pipeline,15,20,25,30,30,35,50,60,40,50,50,90,$495.00
,,,,,,,,,,,,,
ACQUISITION COSTS,,,,,,,,,,,,,
Cost Per Lead,$375.00,$375.00,$375.00,$237.50,$237.50,$187.50,$375.00,$375.00,$375.00,$375.00,$375.00,$375.00,"$4,037.50"
Cost Per Trial,$750.00,$750.00,$750.00,$950.00,$950.00,$750.00,$750.00,$750.00,$750.00,$750.00,$750.00,$750.00,"$9,400.00"
Cost Per Acquisition (new customer),"$1,500.00","$1,500.00","$1,500.00","$1,900.00","$1,900.00","$1,500.00","$1,500.00","$1,500.00","$1,500.00","$1,500.00","$1,500.00","$1,500.00","$18,800.00"
,,,,,,,,,,,,,
EXPENSES,,,,,,,,,,,,,
Social Media,$500.00,$500.00,$500.00,$500.00,$500.00,$500.00,$500.00,$500.00,$500.00,$500.00,$500.00,$500.00,"$6,000.00"
Strategy,"$1,500.00","$1,500.00","$1,500.00","$1,500.00","$1,500.00","$1,500.00","$1,500.00","$1,500.00","$1,500.00","$1,500.00","$1,500.00","$1,500.00","$18,000.00"
SEO,"$1,000.00","$1,000.00","$1,000.00","$1,000.00","$1,000.00","$1,000.00","$1,000.00","$1,000.00","$1,000.00","$1,000.00","$1,000.00","$1,000.00","$12,000.00"
PPC Management,$750.00,$750.00,$750.00,$750.00,$750.00,$750.00,$750.00,$750.00,$750.00,$750.00,$750.00,$750.00,"$9,000.00"
PPC Spend,"$3,000.00","$3,000.00","$3,000.00","$5,000.00","$5,000.00","$3,000.00","$3,000.00","$3,000.00","$3,000.00","$3,000.00","$3,000.00","$3,000.00","$40,000.00"
Writers,$200.00,$200.00,$200.00,$200.00,$200.00,$200.00,$200.00,$200.00,$200.00,$200.00,$200.00,$200.00,"$2,400.00"
Web Development,$450.00,$450.00,$450.00,$450.00,$450.00,$450.00,$450.00,$450.00,$450.00,$450.00,$450.00,$450.00,"$5,400.00"
Graphic Design,$100.00,$100.00,$100.00,$100.00,$100.00,$100.00,$100.00,$100.00,$100.00,$100.00,$100.00,$100.00,"$1,200.00"
Other,,,,,,,,,,,,,$0.00
Total Expenses,"$7,500.00","$7,500.00","$7,500.00","$9,500.00","$9,500.00","$7,500.00","$7,500.00","$7,500.00","$7,500.00","$7,500.00","$7,500.00","$7,500.00","$94,000.00"
% of Revenue (Target = 3-5%),7.50%,7.50%,7.50%,9.50%,9.50%,7.50%,7.50%,7.50%,7.50%,7.50%,7.50%,7.50%,7.83%
,,,,,,,,,,,,,
CHANNEL PERFORMANCE,,,,,,,,,,,,,
,,,,,,,,,,,,,
WEBSITE TRAFFIC,,,,,,,,,,,,,
    Website Traffic (Sessions),"1,000","1,000","1,000","1,000","1,000","1,000","1,000","1,000","1,000","1,000","1,000","1,000",1000
    Website Traffic (Users),500,500,500,500,500,500,500,500,500,500,500,500,500
    Website Traffic (Pageviews),15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000
    Pages/Visit,3.24,3.24,3.24,3.24,3.24,3.24,3.24,3.24,3.24,3.24,3.24,3.24,3.24
    Average Session Duration (Seconds),245,245,245,245,245,245,245,245,245,245,245,245,245
    Bounce Rate,40%,40%,40%,40%,40%,40%,40%,40%,40%,40%,40%,40%,40%
,,,,,,,,,,,,,
CONVERSIONS,,,,,,,,,,,,,
    Contact Form Completions,5,5,5,5,5,5,5,5,5,5,5,5,5
    Chat - Conversations Started,9,9,9,9,9,9,9,9,9,9,9,9,9
    Chat - Email Addresses Captured,3,3,3,3,3,3,3,3,3,3,3,3,3
    Booked Appointments,5,5,5,5,5,5,5,5,5,5,5,5,5
    Total Conversion Rate (%),9.12%,9.12%,9.12%,9.12%,9.12%,9.12%,9.12%,9.12%,9.12%,9.12%,9.12%,9.12%,9.12%
    Desktop Conversion Rate (%),15.43%,15.43%,15.43%,15.43%,15.43%,15.43%,15.43%,15.43%,15.43%,15.43%,15.43%,15.43%,15.43%
    Mobile Conversion Rate (%),4.39%,4.39%,4.39%,4.39%,4.39%,4.39%,4.39%,4.39%,4.39%,4.39%,4.39%,4.39%,4.39%
,,,,,,,,,,,,,
ADVERTISING,,,,,,,,,,,,,
    Ad Spend (Total),,,,,,,,,,,,,
        Prospecting,,,,,,,,,,,,,
        Retargeting,,,,,,,,,,,,,
    Purchase Conversion Value (Revenue) (Total),,,,,,,,,,,,,
        Prospecting,,,,,,,,,,,,,
        Retargeting,,,,,,,,,,,,,
    ROAS (Total),,,,,,,,,,,,,
        Prospecting,,,,,,,,,,,,,
        Retargeting,,,,,,,,,,,,,
    Cost Per Click (CPC) (Total),,,,,,,,,,,,,
        Prospecting,,,,,,,,,,,,,
        Retargeting,,,,,,,,,,,,,
    Cost Per Conversion (transaction or lead) (CPA) (Total),,,,,,,,,,,,,
        Prospecting,,,,,,,,,,,,,
        Retargeting,,,,,,,,,,,,,
    Clicks (Total),,,,,,,,,,,,,
        Prospecting,,,,,,,,,,,,,
        Retargeting,,,,,,,,,,,,,
    Click-Through Rate (CTR) (Total),,,,,,,,,,,,,
        Prospecting,,,,,,,,,,,,,
        Retargeting,,,,,,,,,,,,,
    Reach/Impressions (Total),,,,,,,,,,,,,
        Prospecting,,,,,,,,,,,,,
        Retargeting,,,,,,,,,,,,,
Add to Cart to Purchase Conv. Rate (Total),,,,,,,,,,,,,
        Prospecting,,,,,,,,,,,,,
        Retargeting,,,,,,,,,,,,,
    Cost Per Add to Cart (Total),,,,,,,,,,,,,
        Prospecting,,,,,,,,,,,,,
        Retargeting,,,,,,,,,,,,,
,,,,,,,,,,,,,
EMAIL,,,,,,,,,,,,,
    Subscribers,,,,,,,,,,,,,
    Emails Sent,,,,,,,,,,,,,
    Open Rate,,,,,,,,,,,,,
    Click-Through Rate,,,,,,,,,,,,,
    Unsubscribes,,,,,,,,,,,,,
,,,,,,,,,,,,,
SOCIAL,,,,,,,,,,,,,
    Posts Published,,,,,,,,,,,,,
    Followers (Total),,,,,,,,,,,,,
        Facebook,,,,,,,,,,,,,
        Instagram,,,,,,,,,,,,,
        YouTube,,,,,,,,,,,,,
        TikTok,,,,,,,,,,,,,
    Guest Posts,,,,,,,,,,,,,
,,,,,,,,,,,,,
BLOG CONTENT & RESOURCES,,,,,,,,,,,,,
    Posts Published,,,,,,,,,,,,,
    Post Pageviews,,,,,,,,,,,,,
    Guide Downloads,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
PODCAST,,,,,,,,,,,,,
    Episodes Published,,,,,,,,,,,,,
    Downloads,,,,,,,,,,,,,
    Estimated Audience Size,,,,,,,,,,,,,
    Outreaches (Guesting),,,,,,,,,,,,,
,,,,,,,,,,,,,
SEO,,,,,,,,,,,,,
    Organic Traffic (users),,,,,,,,,,,,,
    Organic Goal Conversions,,,,,,,,,,,,,
    Organic Conversion Rate,,,,,,,,,,,,,
    Notes on what was done,,,,,,,,,,,,,
,,,,,,,,,,,,,
AUDIENCE TRACKER,,,,,,,,,,,,,
    Total,0,0,0,0,0,0,0,0,0,0,0,0,
        Social,0,0,0,0,0,0,0,0,0,0,0,0,
            Facebook,,,,,,,,,,,,,
            Instagram,,,,,,,,,,,,,
            YouTube,,,,,,,,,,,,,
            TikTok,,,,,,,,,,,,,
        Email Subscribers,,,,,,,,,,,,,
        Community,,,,,,,,,,,,,
        Estimated Podcast Audience,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
ACTIVITY TRACKER,,,,,,,,,,,,,
Social Media Posts (Goal = 10),,,,,,,,,,,,,
Emails Sent (Target = 10/mo.),,,,,,,,,,,,,0
Blog Posts Published,,,,,,,,,,,,,0
Podcast Espisodes Published,,,,,,,,,,,,,0
Podcast Guest Outreach,,,,,,,,,,,,,0
LinkedIn Conversations,,,,,,,,,,,,,0
Community Posts (owned),,,,,,,,,,,,,
Notes,i.e. SEO audit this month,,,,,,,,,,,,