,Weight,Total 2024,January 2025,February 2025,March 2025,April 2025,May 2025,June 2025,July 2025,August 2025,September 2025,October 2025,November 2025,December 2025,Total,January 2026,February 2026,March 2026,April 2026,May 2026,June 2026,July 2026,August 2026,September 2026,October 2026,November 2026,December 2026,Total,,,,November 2026
Sales $,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Target Sales $,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$7,000,000",,,,
Sales Last Year $,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Change Orders $,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New MQL #,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New SQL #,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New SQL $,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contracts Signed #,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cost Per Lead $,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cost Per Sale $,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROMI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Important Notes ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROMOTIONS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes about signed contract source attribution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LEADS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Leads (Total),,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reno / remo,,,1,,,,3,4,5,,,,,,,,,,,,,,,,,,,,,,,
New Home,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Commercial,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Hot Leads,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reno / remo,xyz ,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Home,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Commercial,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,,,1,,,,3,4,5,6,,,,,,,,,,,,,,,,,,,,,,
New Hot Leads ($),,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reno / remo,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Home,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Commercial,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Won Deals,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reno / remo,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Home,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Commercial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Won Deals ($),,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reno / remo,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Commercial,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cost Per Lead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reno / remo,65%,,"$1,430",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Commercial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,10%,,$220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cost Per New Client,,,$733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reno / remo,65%,,"$1,430",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Home,10%,,#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Commercial,10%,,$220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,5%,,$110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Close Ratio,,,75%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reno / remo,,,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Home,,,#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Commercial,,,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,,,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fixed Overhead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Advising,,,$100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Marketing Apps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Buffer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Constant Contact,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Promotional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Google Ads,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Vendors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Web Design,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        PPC Management,,,$100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Awards,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Client Gifts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Misc,,,"$2,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Expenses,,,"$2,200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
% of Revenue (Target = 3-5%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marketing as % of new revenue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MARKETING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Engaged Website Sessions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leads from Ads,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cost Per Click,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How did you hear about us?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,